Temperature (C),Pressure (bar),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
0.85881,35.65,2.2802,0.43855,17.377,18.941,80.999,38.644,83.888,211.55,1.4097,14.651,0.020715,vapor
1.0031,35.786,2.2907,0.43654,17.375,18.937,80.963,38.687,84.204,211.46,1.4075,14.666,0.020769,vapor
1.1473,35.922,2.3013,0.43454,17.372,18.933,80.927,38.732,84.523,211.38,1.4054,14.681,0.020823,vapor
1.2916,36.058,2.3119,0.43254,17.369,18.929,80.891,38.776,84.846,211.29,1.4032,14.697,0.020878,vapor
1.4359,36.195,2.3226,0.43056,17.367,18.925,80.855,38.82,85.171,211.21,1.401,14.712,0.020934,vapor
1.5801,36.332,2.3333,0.42858,17.364,18.921,80.818,38.865,85.499,211.12,1.3988,14.728,0.020989,vapor
1.7244,36.469,2.3441,0.42661,17.361,18.917,80.782,38.91,85.831,211.03,1.3966,14.744,0.021046,vapor
1.8687,36.607,2.3549,0.42465,17.358,18.913,80.746,38.954,86.166,210.95,1.3945,14.759,0.021102,vapor
2.0129,36.745,2.3658,0.42269,17.355,18.909,80.709,39,86.505,210.86,1.3923,14.775,0.021159,vapor
2.1572,36.884,2.3767,0.42075,17.352,18.904,80.673,39.045,86.846,210.77,1.3901,14.791,0.021216,vapor
2.3014,37.023,2.3877,0.41881,17.35,18.9,80.636,39.09,87.191,210.69,1.3879,14.807,0.021274,vapor
2.4457,37.162,2.3988,0.41688,17.347,18.896,80.599,39.136,87.54,210.6,1.3857,14.823,0.021333,vapor
2.59,37.302,2.4099,0.41496,17.344,18.892,80.563,39.182,87.892,210.51,1.3836,14.839,0.021391,vapor
2.7342,37.442,2.4211,0.41304,17.341,18.887,80.526,39.228,88.248,210.42,1.3814,14.856,0.021451,vapor
2.8785,37.583,2.4323,0.41114,17.338,18.883,80.489,39.274,88.608,210.33,1.3792,14.872,0.02151,vapor
3.0228,37.723,2.4436,0.40924,17.335,18.878,80.452,39.32,88.971,210.24,1.377,14.888,0.02157,vapor
3.167,37.865,2.4549,0.40735,17.331,18.874,80.415,39.367,89.338,210.15,1.3748,14.905,0.021631,vapor
3.3113,38.007,2.4663,0.40546,17.328,18.869,80.378,39.414,89.709,210.06,1.3726,14.921,0.021692,vapor
3.4555,38.149,2.4778,0.40359,17.325,18.865,80.34,39.461,90.084,209.97,1.3704,14.938,0.021754,vapor
3.5998,38.291,2.4893,0.40172,17.322,18.86,80.303,39.508,90.462,209.88,1.3683,14.954,0.021816,vapor
3.7441,38.434,2.5009,0.39986,17.319,18.856,80.266,39.555,90.845,209.79,1.3661,14.971,0.021878,vapor
3.8883,38.577,2.5125,0.398,17.316,18.851,80.228,39.603,91.232,209.7,1.3639,14.988,0.021941,vapor
4.0326,38.721,2.5243,0.39616,17.312,18.846,80.191,39.651,91.623,209.6,1.3617,15.005,0.022005,vapor
4.1769,38.865,2.536,0.39432,17.309,18.841,80.153,39.698,92.018,209.51,1.3595,15.022,0.022069,vapor
4.3211,39.009,2.5479,0.39248,17.306,18.837,80.115,39.747,92.418,209.42,1.3573,15.039,0.022134,vapor
4.4654,39.154,2.5598,0.39066,17.302,18.832,80.077,39.795,92.822,209.32,1.3551,15.057,0.022199,vapor
4.6097,39.3,2.5717,0.38884,17.299,18.827,80.039,39.844,93.23,209.23,1.3529,15.074,0.022264,vapor
4.7539,39.445,2.5838,0.38703,17.295,18.822,80.001,39.893,93.643,209.14,1.3507,15.091,0.022331,vapor
4.8982,39.591,2.5959,0.38523,17.292,18.817,79.963,39.942,94.06,209.04,1.3485,15.109,0.022397,vapor
5.0424,39.738,2.608,0.38343,17.288,18.812,79.925,39.991,94.483,208.95,1.3463,15.126,0.022465,vapor
5.1867,39.885,2.6203,0.38164,17.285,18.807,79.887,40.04,94.91,208.85,1.3441,15.144,0.022533,vapor
5.331,40.032,2.6326,0.37986,17.281,18.802,79.848,40.09,95.341,208.75,1.3419,15.162,0.022601,vapor
5.4752,40.18,2.6449,0.37808,17.278,18.797,79.81,40.14,95.778,208.66,1.3397,15.18,0.02267,vapor
5.6195,40.328,2.6574,0.37631,17.274,18.792,79.771,40.19,96.22,208.56,1.3374,15.198,0.02274,vapor
5.7638,40.476,2.6699,0.37455,17.27,18.786,79.732,40.241,96.667,208.46,1.3352,15.216,0.02281,vapor
5.908,40.625,2.6824,0.3728,17.267,18.781,79.693,40.291,97.119,208.37,1.333,15.234,0.022881,vapor
6.0523,40.774,2.6951,0.37105,17.263,18.776,79.655,40.342,97.576,208.27,1.3308,15.252,0.022953,vapor
6.1966,40.924,2.7078,0.36931,17.259,18.77,79.615,40.393,98.039,208.17,1.3286,15.271,0.023025,vapor
6.3408,41.074,2.7206,0.36757,17.255,18.765,79.576,40.445,98.507,208.07,1.3264,15.289,0.023097,vapor
6.4851,41.225,2.7334,0.36584,17.251,18.76,79.537,40.496,98.981,207.97,1.3241,15.308,0.023171,vapor
6.6293,41.376,2.7464,0.36412,17.247,18.754,79.498,40.548,99.46,207.87,1.3219,15.327,0.023245,vapor
6.7736,41.527,2.7594,0.3624,17.244,18.749,79.458,40.6,99.945,207.77,1.3197,15.345,0.02332,vapor
6.9179,41.679,2.7724,0.36069,17.24,18.743,79.419,40.653,100.44,207.67,1.3174,15.364,0.023395,vapor
7.0621,41.831,2.7856,0.35899,17.236,18.737,79.379,40.706,100.93,207.57,1.3152,15.383,0.023471,vapor
7.2064,41.984,2.7988,0.35729,17.232,18.732,79.339,40.759,101.44,207.47,1.313,15.403,0.023548,vapor
7.3507,42.137,2.8121,0.3556,17.227,18.726,79.299,40.812,101.95,207.37,1.3107,15.422,0.023625,vapor
7.4949,42.29,2.8255,0.35392,17.223,18.72,79.259,40.865,102.46,207.26,1.3085,15.441,0.023704,vapor
7.6392,42.444,2.839,0.35224,17.219,18.714,79.219,40.919,102.98,207.16,1.3062,15.461,0.023783,vapor
7.7834,42.598,2.8525,0.35057,17.215,18.708,79.179,40.973,103.51,207.06,1.304,15.481,0.023862,vapor
7.9277,42.753,2.8661,0.3489,17.211,18.702,79.138,41.027,104.05,206.95,1.3017,15.5,0.023943,vapor
8.072,42.908,2.8798,0.34724,17.206,18.696,79.098,41.082,104.59,206.85,1.2995,15.52,0.024024,vapor
8.2162,43.064,2.8936,0.34559,17.202,18.69,79.057,41.137,105.14,206.74,1.2972,15.54,0.024106,vapor
8.3605,43.219,2.9075,0.34394,17.198,18.684,79.016,41.192,105.7,206.64,1.2949,15.56,0.024188,vapor
8.5048,43.376,2.9214,0.3423,17.193,18.678,78.975,41.248,106.26,206.53,1.2927,15.581,0.024272,vapor
8.649,43.533,2.9354,0.34066,17.189,18.672,78.934,41.304,106.83,206.43,1.2904,15.601,0.024356,vapor
8.7933,43.69,2.9496,0.33903,17.184,18.666,78.893,41.36,107.41,206.32,1.2881,15.622,0.024441,vapor
8.9376,43.848,2.9638,0.33741,17.18,18.659,78.852,41.416,108,206.21,1.2858,15.642,0.024527,vapor
9.0818,44.006,2.978,0.33579,17.175,18.653,78.811,41.473,108.59,206.1,1.2835,15.663,0.024614,vapor
9.2261,44.164,2.9924,0.33418,17.171,18.646,78.769,41.53,109.19,206,1.2812,15.684,0.024702,vapor
9.3703,44.323,3.0069,0.33257,17.166,18.64,78.727,41.587,109.8,205.89,1.2789,15.705,0.02479,vapor
9.5146,44.482,3.0214,0.33097,17.161,18.633,78.685,41.645,110.42,205.78,1.2767,15.726,0.02488,vapor
9.6589,44.642,3.0361,0.32937,17.156,18.627,78.643,41.703,111.05,205.67,1.2743,15.748,0.02497,vapor
9.8031,44.802,3.0508,0.32778,17.152,18.62,78.601,41.762,111.69,205.56,1.272,15.769,0.025061,vapor
9.9474,44.963,3.0656,0.3262,17.147,18.614,78.559,41.82,112.33,205.45,1.2697,15.791,0.025153,vapor
10.092,45.124,3.0805,0.32462,17.142,18.607,78.517,41.879,112.98,205.34,1.2674,15.812,0.025246,vapor
10.236,45.286,3.0956,0.32304,17.137,18.6,78.474,41.939,113.65,205.22,1.2651,15.834,0.02534,vapor
10.38,45.448,3.1107,0.32148,17.132,18.593,78.431,41.999,114.32,205.11,1.2628,15.856,0.025436,vapor
10.524,45.61,3.1259,0.31991,17.127,18.586,78.388,42.059,115,205,1.2604,15.879,0.025532,vapor
10.669,45.773,3.1412,0.31835,17.122,18.579,78.345,42.119,115.7,204.89,1.2581,15.901,0.025629,vapor
10.813,45.936,3.1566,0.3168,17.117,18.572,78.302,42.18,116.4,204.77,1.2557,15.924,0.025727,vapor
10.957,46.1,3.1721,0.31525,17.112,18.565,78.259,42.241,117.11,204.66,1.2534,15.946,0.025826,vapor
11.102,46.264,3.1877,0.31371,17.106,18.558,78.215,42.303,117.83,204.54,1.251,15.969,0.025926,vapor
11.246,46.429,3.2034,0.31217,17.101,18.55,78.172,42.365,118.57,204.43,1.2487,15.992,0.026027,vapor
11.39,46.594,3.2192,0.31064,17.096,18.543,78.128,42.428,119.31,204.31,1.2463,16.016,0.02613,vapor
11.534,46.759,3.2351,0.30911,17.09,18.536,78.084,42.49,120.07,204.19,1.2439,16.039,0.026233,vapor
11.679,46.925,3.2511,0.30759,17.085,18.528,78.04,42.554,120.84,204.08,1.2416,16.062,0.026338,vapor
11.823,47.092,3.2672,0.30607,17.079,18.521,77.995,42.617,121.62,203.96,1.2392,16.086,0.026443,vapor
11.967,47.258,3.2834,0.30456,17.074,18.513,77.951,42.682,122.41,203.84,1.2368,16.11,0.02655,vapor
12.111,47.426,3.2998,0.30305,17.068,18.505,77.906,42.746,123.21,203.72,1.2344,16.134,0.026658,vapor
12.256,47.593,3.3162,0.30155,17.062,18.498,77.861,42.811,124.03,203.6,1.232,16.158,0.026768,vapor
12.4,47.762,3.3328,0.30005,17.057,18.49,77.816,42.876,124.86,203.48,1.2296,16.183,0.026878,vapor
12.544,47.93,3.3494,0.29856,17.051,18.482,77.771,42.942,125.7,203.36,1.2271,16.208,0.02699,vapor
12.688,48.099,3.3662,0.29707,17.045,18.474,77.725,43.008,126.56,203.24,1.2247,16.232,0.027103,vapor
12.833,48.269,3.3831,0.29559,17.039,18.466,77.68,43.075,127.43,203.12,1.2223,16.258,0.027218,vapor
12.977,48.439,3.4001,0.29411,17.033,18.458,77.634,43.142,128.32,203,1.2198,16.283,0.027333,vapor
13.121,48.609,3.4173,0.29263,17.027,18.45,77.588,43.21,129.22,202.87,1.2174,16.308,0.027451,vapor
13.265,48.78,3.4345,0.29116,17.021,18.441,77.542,43.278,130.13,202.75,1.2149,16.334,0.027569,vapor
13.41,48.952,3.4519,0.28969,17.015,18.433,77.495,43.347,131.06,202.62,1.2125,16.36,0.027689,vapor
13.554,49.123,3.4694,0.28823,17.009,18.425,77.449,43.416,132.01,202.5,1.21,16.386,0.02781,vapor
13.698,49.296,3.4871,0.28677,17.003,18.416,77.402,43.486,132.97,202.37,1.2075,16.412,0.027933,vapor
13.843,49.469,3.5048,0.28532,16.996,18.408,77.355,43.556,133.95,202.25,1.205,16.439,0.028058,vapor
13.987,49.642,3.5227,0.28387,16.99,18.399,77.308,43.627,134.95,202.12,1.2025,16.465,0.028184,vapor
14.131,49.815,3.5407,0.28243,16.983,18.39,77.26,43.698,135.96,201.99,1.2,16.492,0.028311,vapor
14.275,49.99,3.5589,0.28099,16.977,18.382,77.212,43.77,136.99,201.86,1.1975,16.519,0.02844,vapor
14.42,50.164,3.5772,0.27955,16.97,18.373,77.164,43.842,138.04,201.73,1.195,16.547,0.028571,vapor
14.564,50.339,3.5956,0.27812,16.964,18.364,77.116,43.915,139.11,201.6,1.1925,16.574,0.028703,vapor
14.708,50.515,3.6141,0.27669,16.957,18.355,77.068,43.989,140.2,201.47,1.1899,16.602,0.028837,vapor
14.852,50.691,3.6328,0.27527,16.95,18.345,77.019,44.063,141.31,201.34,1.1874,16.63,0.028972,vapor
14.997,50.867,3.6517,0.27385,16.943,18.336,76.97,44.137,142.44,201.21,1.1848,16.659,0.02911,vapor
15.141,51.044,3.6707,0.27243,16.936,18.327,76.921,44.213,143.59,201.08,1.1822,16.688,0.029249,vapor
15.285,51.222,3.6898,0.27102,16.929,18.318,76.872,44.288,144.76,200.94,1.1796,16.716,0.02939,vapor
15.429,51.4,3.7091,0.26961,16.922,18.308,76.822,44.365,145.95,200.81,1.177,16.746,0.029533,vapor
15.574,51.578,3.7285,0.2682,16.915,18.298,76.772,44.442,147.17,200.68,1.1744,16.775,0.029678,vapor
15.718,51.757,3.7481,0.2668,16.908,18.289,76.722,44.52,148.41,200.54,1.1718,16.805,0.029825,vapor
15.862,51.936,3.7678,0.2654,16.901,18.279,76.672,44.598,149.68,200.4,1.1692,16.835,0.029973,vapor
16.006,52.116,3.7877,0.26401,16.893,18.269,76.621,44.678,150.97,200.27,1.1665,16.865,0.030124,vapor
16.151,52.296,3.8078,0.26262,16.886,18.259,76.57,44.757,152.28,200.13,1.1639,16.896,0.030277,vapor
16.295,52.477,3.828,0.26123,16.878,18.249,76.519,44.838,153.63,199.99,1.1612,16.926,0.030432,vapor
16.439,52.658,3.8484,0.25985,16.871,18.239,76.468,44.919,155,199.85,1.1585,16.958,0.030589,vapor
16.584,52.84,3.869,0.25847,16.863,18.229,76.416,45.001,156.4,199.71,1.1559,16.989,0.030748,vapor
16.728,53.022,3.8897,0.25709,16.855,18.218,76.364,45.084,157.82,199.57,1.1532,17.021,0.03091,vapor
16.872,53.205,3.9106,0.25572,16.847,18.208,76.311,45.167,159.28,199.42,1.1504,17.053,0.031074,vapor
17.016,53.388,3.9316,0.25435,16.839,18.197,76.259,45.252,160.77,199.28,1.1477,17.085,0.03124,vapor
17.161,53.572,3.9529,0.25298,16.831,18.186,76.206,45.337,162.29,199.14,1.145,17.118,0.031409,vapor
17.305,53.756,3.9743,0.25161,16.823,18.175,76.152,45.423,163.85,198.99,1.1422,17.151,0.03158,vapor
17.449,53.941,3.996,0.25025,16.815,18.165,76.099,45.509,165.44,198.85,1.1394,17.185,0.031754,vapor
17.593,54.126,4.0178,0.24889,16.806,18.153,76.045,45.597,167.06,198.7,1.1367,17.218,0.031931,vapor
17.738,54.312,4.0398,0.24754,16.798,18.142,75.991,45.685,168.72,198.55,1.1338,17.253,0.03211,vapor
17.882,54.498,4.062,0.24619,16.789,18.131,75.936,45.775,170.42,198.4,1.131,17.287,0.032292,vapor
18.026,54.685,4.0843,0.24484,16.781,18.12,75.881,45.865,172.16,198.25,1.1282,17.322,0.032476,vapor
18.17,54.872,4.1069,0.24349,16.772,18.108,75.826,45.956,173.93,198.1,1.1254,17.357,0.032664,vapor
18.315,55.06,4.1297,0.24215,16.763,18.096,75.77,46.048,175.75,197.95,1.1225,17.393,0.032854,vapor
18.459,55.248,4.1527,0.2408,16.754,18.085,75.714,46.141,177.62,197.8,1.1196,17.429,0.033048,vapor
18.603,55.437,4.176,0.23947,16.745,18.073,75.658,46.235,179.52,197.64,1.1167,17.465,0.033244,vapor
18.747,55.626,4.1994,0.23813,16.736,18.061,75.601,46.33,181.48,197.49,1.1138,17.502,0.033444,vapor
18.892,55.816,4.2231,0.23679,16.727,18.048,75.544,46.426,183.48,197.33,1.1109,17.54,0.033647,vapor
19.036,56.006,4.2469,0.23546,16.717,18.036,75.486,46.523,185.53,197.18,1.1079,17.577,0.033854,vapor
19.18,56.197,4.2711,0.23413,16.708,18.024,75.428,46.622,187.64,197.02,1.1049,17.616,0.034064,vapor
19.325,56.388,4.2954,0.23281,16.698,18.011,75.37,46.721,189.8,196.86,1.1019,17.654,0.034277,vapor
19.469,56.58,4.32,0.23148,16.689,17.998,75.311,46.821,192.01,196.7,1.0989,17.693,0.034494,vapor
19.613,56.772,4.3448,0.23016,16.679,17.985,75.252,46.923,194.28,196.53,1.0959,17.733,0.034715,vapor
19.757,56.965,4.3699,0.22884,16.669,17.972,75.192,47.026,196.61,196.37,1.0928,17.773,0.03494,vapor
19.902,57.158,4.3953,0.22752,16.659,17.959,75.132,47.13,199.01,196.21,1.0898,17.814,0.035169,vapor
20.046,57.352,4.4208,0.2262,16.649,17.946,75.071,47.235,201.47,196.04,1.0867,17.855,0.035401,vapor
20.19,57.547,4.4467,0.22489,16.638,17.932,75.01,47.342,204,195.87,1.0836,17.896,0.035638,vapor
20.334,57.741,4.4728,0.22357,16.628,17.919,74.949,47.45,206.6,195.7,1.0804,17.938,0.03588,vapor
20.479,57.937,4.4992,0.22226,16.617,17.905,74.887,47.56,209.27,195.53,1.0773,17.981,0.036125,vapor
20.623,58.133,4.5259,0.22095,16.606,17.891,74.824,47.67,212.02,195.36,1.0741,18.024,0.036376,vapor
20.767,58.329,4.5529,0.21964,16.595,17.877,74.761,47.783,214.85,195.19,1.0709,18.068,0.036631,vapor
20.911,58.527,4.5802,0.21833,16.584,17.862,74.698,47.897,217.76,195.01,1.0676,18.113,0.036891,vapor
21.056,58.724,4.6078,0.21702,16.573,17.848,74.634,48.012,220.76,194.84,1.0644,18.158,0.037156,vapor
21.2,58.922,4.6357,0.21572,16.562,17.833,74.569,48.129,223.85,194.66,1.0611,18.204,0.037426,vapor
21.344,59.121,4.6639,0.21441,16.55,17.818,74.504,48.247,227.04,194.48,1.0578,18.25,0.037702,vapor
21.488,59.32,4.6924,0.21311,16.539,17.803,74.438,48.368,230.33,194.3,1.0544,18.297,0.037983,vapor
21.633,59.52,4.7213,0.21181,16.527,17.788,74.372,48.49,233.72,194.11,1.0511,18.345,0.03827,vapor
21.777,59.72,4.7505,0.21051,16.515,17.772,74.305,48.613,237.23,193.93,1.0477,18.393,0.038563,vapor
21.921,59.921,4.78,0.2092,16.503,17.756,74.237,48.739,240.85,193.74,1.0442,18.442,0.038863,vapor
22.066,60.122,4.8099,0.2079,16.49,17.74,74.169,48.867,244.58,193.55,1.0408,18.492,0.039168,vapor
22.21,60.324,4.8402,0.2066,16.478,17.724,74.1,48.996,248.45,193.36,1.0373,18.543,0.03948,vapor
22.354,60.527,4.8709,0.2053,16.465,17.708,74.03,49.128,252.45,193.17,1.0338,18.594,0.039799,vapor
22.498,60.73,4.9019,0.204,16.452,17.691,73.96,49.261,256.59,192.97,1.0302,18.647,0.040126,vapor
22.643,60.934,4.9333,0.2027,16.439,17.674,73.889,49.397,260.88,192.77,1.0266,18.7,0.040459,vapor
22.787,61.138,4.9652,0.2014,16.426,17.657,73.817,49.536,265.32,192.57,1.023,18.754,0.0408,vapor
22.931,61.342,4.9975,0.2001,16.412,17.64,73.745,49.676,269.93,192.37,1.0193,18.809,0.04115,vapor
23.075,61.548,5.0302,0.1988,16.399,17.622,73.671,49.819,274.71,192.17,1.0156,18.864,0.041507,vapor
23.22,61.754,5.0633,0.1975,16.385,17.604,73.597,49.964,279.68,191.96,1.0119,18.921,0.041874,vapor
23.364,61.96,5.097,0.1962,16.371,17.586,73.523,50.113,284.84,191.75,1.0081,18.979,0.042249,vapor
23.508,62.167,5.131,0.19489,16.356,17.568,73.447,50.263,290.2,191.53,1.0043,19.038,0.042633,vapor
23.652,62.375,5.1656,0.19359,16.342,17.549,73.37,50.417,295.78,191.32,1.0005,19.098,0.043028,vapor
23.797,62.583,5.2007,0.19228,16.327,17.53,73.293,50.574,301.6,191.1,0.99656,19.159,0.043433,vapor
23.941,62.792,5.2363,0.19097,16.312,17.511,73.214,50.733,307.66,190.87,0.99262,19.221,0.043848,vapor
24.085,63.001,5.2724,0.18967,16.296,17.491,73.135,50.896,313.98,190.65,0.98863,19.284,0.044275,vapor
24.229,63.211,5.3091,0.18835,16.281,17.471,73.054,51.062,320.58,190.42,0.9846,19.349,0.044713,vapor
24.374,63.422,5.3464,0.18704,16.265,17.451,72.973,51.232,327.48,190.18,0.98051,19.414,0.045164,vapor
24.518,63.633,5.3843,0.18573,16.249,17.43,72.89,51.405,334.7,189.94,0.97638,19.482,0.045628,vapor
24.662,63.844,5.4228,0.18441,16.232,17.409,72.807,51.582,342.25,189.7,0.9722,19.55,0.046105,vapor
24.807,64.057,5.4619,0.18309,16.215,17.388,72.722,51.764,350.18,189.45,0.96797,19.62,0.046597,vapor
24.951,64.27,5.5017,0.18176,16.198,17.366,72.636,51.949,358.49,189.2,0.96368,19.691,0.047104,vapor
25.095,64.483,5.5422,0.18043,16.181,17.344,72.549,52.139,367.23,188.95,0.95933,19.765,0.047627,vapor
25.239,64.697,5.5834,0.1791,16.163,17.322,72.46,52.333,376.42,188.69,0.95492,19.839,0.048166,vapor
25.384,64.912,5.6253,0.17777,16.145,17.299,72.37,52.532,386.1,188.42,0.95046,19.916,0.048724,vapor
25.528,65.127,5.668,0.17643,16.126,17.275,72.279,52.736,396.31,188.15,0.94593,19.994,0.0493,vapor
25.672,65.343,5.7116,0.17508,16.107,17.251,72.186,52.946,407.09,187.87,0.94133,20.074,0.049896,vapor
25.816,65.56,5.756,0.17373,16.088,17.227,72.092,53.162,418.51,187.59,0.93666,20.156,0.050514,vapor
25.961,65.777,5.8013,0.17238,16.068,17.202,71.996,53.383,430.6,187.3,0.93193,20.24,0.051155,vapor
26.105,65.995,5.8475,0.17101,16.048,17.176,71.898,53.611,443.43,187,0.92711,20.326,0.05182,vapor
26.249,66.214,5.8947,0.16965,16.027,17.15,71.799,53.846,457.08,186.69,0.92222,20.415,0.05251,vapor
26.393,66.433,5.9429,0.16827,16.006,17.124,71.698,54.088,471.62,186.38,0.91725,20.506,0.053229,vapor
26.538,66.653,5.9921,0.16689,15.984,17.097,71.594,54.338,487.15,186.06,0.91219,20.599,0.053978,vapor
26.682,66.873,6.0426,0.16549,15.962,17.069,71.489,54.596,503.76,185.73,0.90704,20.696,0.054759,vapor
26.826,67.094,6.0942,0.16409,15.939,17.04,71.382,54.863,521.58,185.39,0.9018,20.795,0.055575,vapor
26.97,67.316,6.1471,0.16268,15.916,17.011,71.272,55.14,540.73,185.03,0.89646,20.897,0.056429,vapor
27.115,67.538,6.2013,0.16126,15.892,16.981,71.16,55.427,561.39,184.67,0.89101,21.002,0.057324,vapor
27.259,67.762,6.2569,0.15982,15.867,16.95,71.046,55.725,583.72,184.3,0.88545,21.111,0.058264,vapor
27.403,67.985,6.3141,0.15838,15.842,16.918,70.928,56.036,607.95,183.91,0.87977,21.224,0.059254,vapor
27.548,68.21,6.3729,0.15691,15.815,16.886,70.808,56.36,634.32,183.51,0.87396,21.34,0.060298,vapor
27.692,68.435,6.4334,0.15544,15.788,16.852,70.684,56.698,663.13,183.09,0.86802,21.461,0.061401,vapor
27.836,68.661,6.4958,0.15395,15.76,16.817,70.558,57.053,694.73,182.65,0.86193,21.587,0.062571,vapor
27.98,68.887,6.5602,0.15243,15.731,16.782,70.427,57.425,729.55,182.2,0.85569,21.717,0.063815,vapor
28.125,69.114,6.6267,0.1509,15.702,16.745,70.293,57.817,768.11,181.72,0.84928,21.853,0.065143,vapor
28.269,69.342,6.6956,0.14935,15.671,16.706,70.154,58.231,811.03,181.22,0.84269,21.995,0.066564,vapor
28.413,69.571,6.7671,0.14777,15.638,16.666,70.011,58.67,859.09,180.7,0.83589,22.143,0.068091,vapor
28.557,69.8,6.8414,0.14617,15.605,16.625,69.863,59.137,913.27,180.14,0.82889,22.299,0.06974,vapor
28.702,70.031,6.9187,0.14454,15.57,16.582,69.709,59.635,974.8,179.55,0.82164,22.462,0.07153,vapor
28.846,70.261,6.9995,0.14287,15.533,16.537,69.549,60.171,1045.3,178.92,0.81413,22.635,0.073484,vapor
28.99,70.493,7.0841,0.14116,15.495,16.49,69.383,60.749,1126.7,178.25,0.80632,22.817,0.07563,vapor
29.134,70.725,7.173,0.13941,15.455,16.441,69.208,61.378,1222,177.53,0.79819,23.01,0.078005,vapor
29.279,70.959,7.2668,0.13761,15.412,16.388,69.025,62.066,1334.7,176.74,0.78969,23.217,0.080657,vapor
29.423,71.193,7.3661,0.13576,15.367,16.333,68.831,62.826,1470.1,175.88,0.78077,23.438,0.083647,vapor
29.567,71.427,7.4719,0.13383,15.318,16.274,68.627,63.675,1635.6,174.93,0.77136,23.676,0.087061,vapor
29.711,71.663,7.5853,0.13183,15.266,16.211,68.408,64.634,1842.2,173.87,0.7614,23.935,0.091013,vapor
29.856,71.9,7.7078,0.12974,15.21,16.143,68.174,65.734,2106.7,172.66,0.75077,24.219,0.095673,vapor
30,72.137,7.8415,0.12753,15.149,16.069,67.919,67.019,2456.7,171.26,0.73936,24.533,0.10129,vapor